day,slope: CO2 vs. MW,intercept,r_val,p_val,error
202,0.510888996632,-13555.5916484,0.986036829528,3.39973073242e-31,0.0139967525013
203,0.510570829174,-12959.2096925,0.98249608361,2.41587730345e-29,0.0157038868072
204,0.520893326976,-16595.2497947,0.98783332476,2.52188214226e-32,0.0133029899756
205,0.502386473548,-10811.542292,0.960963713649,8.32552722696e-23,0.0234643310252
206,0.549596254003,-24345.842797,0.951643195538,4.48636872909e-21,0.0287810627797
207,0.456843531213,288.11622599,0.950224548086,7.67541668991e-21,0.0242996126598
208,0.375968209111,18763.9331141,0.907974343799,6.22273649461e-16,0.0281466345943
209,0.42974260585,6369.07283856,0.909037607524,5.03739935339e-16,0.0319575107178
210,0.423832315022,8717.59111347,0.915096603805,1.43495776933e-16,0.0302965515734
211,0.514615321932,-14410.3236634,0.983968096254,4.61031092215e-30,0.0151310751195
212,0.519615401038,-15966.259126,0.985787125691,4.75084617946e-31,0.0143652893311
213,0.511075143258,-13199.1667888,0.983982068428,4.53511064217e-30,0.0150202743378
214,0.529787883676,-19427.4105756,0.986787926949,1.19674724638e-31,0.0141106699985
215,0.514423059436,-14198.1374431,0.967220894057,3.18034894022e-24,0.0219092785123
216,0.387455199834,17266.3083707,0.815265751735,1.50256648097e-10,0.044645152694
217,0.473618906141,-2651.13380977,0.952962208757,2.683479877e-21,0.0244361022484
218,0.549203142923,-25308.6639779,0.989469251515,1.645470136e-33,0.0130327825333
219,0.576465210613,-35178.1568203,0.992676799493,1.70153495755e-36,0.0113800017175
220,0.578488344273,-36122.8268862,0.993342992501,2.79451716717e-37,0.0108826364749
221,0.578488344273,-36122.8268862,0.993342992501,2.79451716717e-37,0.0108826364749
222,0.578488344273,-36122.8268862,0.993342992501,2.79451716717e-37,0.0108826364749
223,0.576465210613,-35178.1568203,0.992676799493,1.70153495755e-36,0.0113800017175
224,0.576465210613,-35178.1568203,0.992676799493,1.70153495755e-36,0.0113800017175
225,0.578488344273,-36122.8268862,0.993342992501,2.79451716717e-37,0.0108826364749
226,0.578488344273,-36122.8268862,0.993342992501,2.79451716717e-37,0.0108826364749
227,0.576465210613,-35178.1568203,0.992676799493,1.70153495755e-36,0.0113800017175
228,0.576465210613,-35178.1568203,0.992676799493,1.70153495755e-36,0.0113800017175
229,0.576465210613,-35178.1568203,0.992676799493,1.70153495755e-36,0.0113800017175
230,0.552312180552,-26125.1176222,0.988177197403,1.46700160502e-32,0.0139009908705
231,0.524430087507,-18034.4107381,0.987549576006,3.8984998745e-32,0.0135515181348
232,0.580789580795,-36719.7418303,0.990716666219,1.51562816204e-34,0.0129280867744
233,0.55453825816,-26958.964313,0.98820323316,1.40713698754e-32,0.0139413660676
234,0.503833467465,-10354.6684382,0.980710321221,1.50658481962e-28,0.0162902387093
235,0.515206698125,-14644.5042936,0.982773348059,1.78796879481e-29,0.0157171322608
236,0.513422307189,-14204.775756,0.98335740762,9.33098184904e-30,0.0153880121823
237,0.418973556367,9469.28284835,0.915305149154,1.37199143267e-16,0.0299072445024
238,0.473195717437,-3604.72019878,0.947292118746,2.21973196185e-20,0.0259608205723
239,0.521453512447,-16844.8534537,0.977738088314,2.23544294478e-27,0.0181537722091
240,0.582047539231,-37233.2257004,0.990876202553,1.09181552876e-34,0.0128427256803
241,0.581919683601,-37391.3328567,0.992811577526,1.19691604218e-36,0.0113803162717
242,0.582396651859,-37641.8124032,0.993327412432,2.92104491243e-37,0.0109691029166
243,0.523446229638,-17337.9874426,0.979152671726,6.50038745087e-28,0.0176154894804
244,0.461196879481,751.888834819,0.948394145018,1.5001572013e-20,0.0250146018306
245,0.46543516157,-633.796011661,0.929155629631,5.21410160665e-18,0.030041058643
246,0.502533656788,-10809.3563393,0.978673811565,9.9663890008e-28,0.0171111466007
247,0.568752047721,-32331.1148196,0.986876908914,1.0533512075e-31,0.0150963425024
248,0.524623134969,-17409.7991253,0.975326310898,1.54551289561e-26,0.0192638092045
249,0.524332243352,-17404.5832518,0.976734661548,5.12141739648e-27,0.0186752766096
250,0.531048781077,-19771.2255178,0.974044161241,4.00198031276e-26,0.020019809309
251,0.538838447064,-22327.8806222,0.97432290355,3.26759568936e-26,0.0201997462509
252,0.517849752925,-15511.5164929,0.977424482884,2.90815064259e-27,0.0181592358352
253,0.572615859184,-33821.0328757,0.985204420866,1.01424744434e-30,0.0161589755276
254,0.55857150358,-29034.1464322,0.982717614512,1.90022364543e-29,0.017068309655
255,0.561170867922,-29901.3004417,0.983321253399,9.72071749219e-30,0.0168378304178
256,0.574886244172,-34571.3212148,0.990073464189,5.3823886427e-34,0.013239028259
257,0.574715442633,-34415.2002985,0.992647883547,1.83337260568e-36,0.0113680851353
258,0.559506379866,-29226.942439,0.983831135719,5.41267388812e-30,0.0165228435564
259,0.511383427781,-13569.1771301,0.974457261991,2.96102641759e-26,0.0191183165616
260,0.496462242895,-8255.45568795,0.963820297871,2.01435732215e-23,0.0222731542229
261,0.511383427781,-13569.1771301,0.974457261991,2.96102641759e-26,0.0191183165616
262,0.496206342566,-8200.34689608,0.961451125827,6.58529051434e-23,0.0230217267872
263,0.556391237503,-28307.3279006,0.98234798286,2.83167632749e-29,0.0171874023039
264,0.5168275843,-14954.5957813,0.970141953285,5.53731622337e-25,0.0209603271557
265,0.515917113829,-15013.2293998,0.971919261693,1.75219452193e-25,0.0202631412884
266,0.511574883481,-13927.3070259,0.974573716646,2.71752162201e-26,0.0190801084206
267,0.485532128182,-4995.79904269,0.967492630949,2.72150173225e-24,0.0205885602139
268,0.536233787302,-21960.0153552,0.984105954021,3.91727309973e-30,0.0156971272808
269,0.528667950631,-19562.4120085,0.983530087054,7.66495521203e-30,0.0157604488869
270,0.493140382383,-7276.73580237,0.959570919193,1.60113166603e-22,0.0234654624772
271,0.497662400262,-9059.44668455,0.971735446864,1.98029254242e-25,0.0196128347981
272,0.532486775066,-20708.317613,0.985258135602,9.46963280885e-31,0.014998633613
273,0.575495813381,-35145.2335129,0.983485779118,8.06329924537e-30,0.0171801074534
274,0.573174763834,-33967.3206741,0.996613347785,7.61759080772e-43,0.00767186316261
275,0.570076976515,-32651.9658806,0.996883066406,1.57762105087e-43,0.00731876119026
276,0.572757753203,-33700.4720584,0.990477105631,2.45433777314e-34,0.0129151012085
277,0.520470097628,-16276.4547451,0.962278634725,4.39177606913e-23,0.0238713610098
278,0.484881738063,-5791.16090863,0.960293844798,1.14360638467e-22,0.0228522722982
279,0.406163153409,12662.056826,0.843181732393,8.6554309178e-12,0.042011669438
280,0.441106050629,4172.0873502,0.886353347663,2.82541493533e-14,0.0373795591124
281,0.449016116333,3709.18006593,0.948352191446,1.52293986174e-20,0.0243646490646
